method,run,generation,best
repair_flip,5,19,640.0
repair_flip,5,20,640.0
repair_flip,5,21,640.0
repair_flip,5,22,640.0
repair_flip,5,23,640.0
repair_flip,5,24,640.0
repair_flip,5,25,640.0
repair_flip,5,26,640.0
repair_flip,5,27,640.0
repair_flip,5,28,640.0
repair_flip,5,29,640.0
repair_flip,5,30,644.0
repair_flip,5,31,644.0
repair_flip,5,32,644.0
repair_flip,5,33,644.0
repair_flip,5,34,644.0
repair_flip,5,35,644.0
repair_flip,5,36,644.0
repair_flip,5,37,644.0
repair_flip,5,38,644.0
repair_flip,5,39,644.0
repair_flip,5,40,644.0
repair_flip,5,41,644.0
repair_flip,5,42,644.0
repair_flip,5,43,644.0
repair_flip,5,44,644.0
repair_flip,5,45,644.0
repair_flip,5,46,644.0
repair_flip,5,47,644.0
repair_flip,5,48,644.0
repair_flip,5,49,644.0
repair_flip,5,50,644.0
repair_flip,5,51,644.0
repair_flip,5,52,644.0
repair_flip,5,53,644.0
repair_flip,5,54,644.0
repair_flip,5,55,644.0
repair_flip,5,56,644.0
repair_flip,5,57,644.0
repair_flip,5,58,644.0
repair_flip,5,59,644.0
repair_flip,5,60,644.0
repair_flip,5,61,644.0
repair_flip,5,62,644.0
repair_flip,5,63,644.0
repair_flip,6,0,497.0
repair_flip,6,1,549.0
repair_flip,6,2,562.0
repair_flip,6,3,631.0
repair_flip,6,4,631.0
repair_flip,6,5,631.0
repair_flip,6,6,644.0
repair_flip,6,7,644.0
repair_flip,6,8,644.0
repair_flip,6,9,644.0
repair_flip,6,10,644.0
repair_flip,6,11,644.0
repair_flip,6,12,644.0
repair_flip,6,13,644.0
repair_flip,6,14,644.0
repair_flip,6,15,644.0
repair_flip,6,16,644.0
repair_flip,6,17,644.0
repair_flip,6,18,644.0
repair_flip,6,19,644.0
repair_flip,6,20,644.0
repair_flip,6,21,644.0
repair_flip,6,22,644.0
repair_flip,6,23,644.0
repair_flip,6,24,644.0
repair_flip,6,25,644.0
repair_flip,6,26,644.0
repair_flip,6,27,644.0
repair_flip,6,28,644.0
repair_flip,6,29,644.0
repair_flip,6,30,644.0
repair_flip,6,31,644.0
repair_flip,6,32,644.0
repair_flip,6,33,644.0
repair_flip,6,34,644.0
repair_flip,6,35,644.0
repair_flip,6,36,644.0
repair_flip,6,37,644.0
repair_flip,6,38,644.0
repair_flip,6,39,644.0
repair_flip,6,40,644.0
repair_flip,6,41,644.0
repair_flip,6,42,644.0
repair_flip,6,43,644.0
repair_flip,6,44,644.0
repair_flip,6,45,644.0
repair_flip,6,46,644.0
repair_flip,6,47,644.0
repair_flip,6,48,644.0
repair_flip,6,49,644.0
repair_flip,6,50,644.0
repair_flip,6,51,644.0
repair_flip,6,52,644.0
repair_flip,6,53,644.0
repair_flip,6,54,644.0
repair_flip,6,55,644.0
repair_flip,6,56,644.0
repair_flip,6,57,644.0
repair_flip,6,58,644.0
repair_flip,6,59,644.0
repair_flip,6,60,644.0
repair_flip,6,61,644.0
repair_flip,6,62,644.0
repair_flip,6,63,644.0
repair_flip,7,0,581.0
repair_flip,7,1,624.0
repair_flip,7,2,648.0
repair_flip,7,3,648.0
repair_flip,7,4,648.0
repair_flip,7,5,648.0
repair_flip,7,6,648.0
repair_flip,7,7,648.0
repair_flip,7,8,648.0
repair_flip,7,9,648.0
repair_flip,7,10,648.0
repair_flip,7,11,648.0
repair_flip,7,12,648.0
repair_flip,7,13,648.0
repair_flip,7,14,648.0
repair_flip,7,15,648.0
repair_flip,7,16,648.0
repair_flip,7,17,648.0
repair_flip,7,18,648.0
repair_flip,7,19,648.0
repair_flip,7,20,648.0
repair_flip,7,21,648.0
repair_flip,7,22,648.0
repair_flip,7,23,648.0
repair_flip,7,24,648.0
repair_flip,7,25,648.0
repair_flip,7,26,648.0
repair_flip,7,27,648.0
repair_flip,7,28,648.0
repair_flip,7,29,648.0
repair_flip,7,30,648.0
repair_flip,7,31,648.0
repair_flip,7,32,648.0
repair_flip,7,33,648.0
repair_flip,7,34,648.0
repair_flip,7,35,648.0
repair_flip,7,36,648.0
repair_flip,7,37,648.0
repair_flip,7,38,648.0
repair_flip,7,39,648.0
repair_flip,7,40,648.0
repair_flip,7,41,648.0
repair_flip,7,42,648.0
repair_flip,7,43,648.0
repair_flip,7,44,648.0
repair_flip,7,45,648.0
repair_flip,7,46,648.0
